Creature,CR,Category,Size,Type,Tag,SC,AL,Caster Level,Caster Type,AC,HP,#,d,adjustment,walk,burrow,climb,fly,swim,Str,Dex,Con,Int,Wis,Cha,MM,PHB,DMG,LMP,HDQ,ROT,POA,Basic,SRD,HDQ,ROT,DDEN1,DDEX1,POA,DDEN2,DDEX2,DDEN3,DDEX3
Aarakocra,0.25,Monster,Medium,Humanoid,Aarakocra,,NG,,,12,13,3,8,,20,,,50,,10,14,10,11,12,11,12,,,,,,,,,,,,,6,,13:34,,
Aboleth,10,Monster,Large,Aberration,,,LE,,,17,135,18,10,36,10,,,,40,21,9,15,18,15,18,13,,,,,,,,264,,,,,6,,,,
Abominable Yeti,9,Monster,Huge,Monstrosity,,,CE,,,15,137,11,12,66,40,,40,,,24,10,22,9,13,9,306,,,,,,,,,,,,,,,,,
Acolyte,0.25,NPC,Medium,Humanoid,Any,,Any,1,C,10,9,2,8,,30,,,,,10,10,10,10,14,11,342,,,,,,,53,390,4,,,4:21,,,11:21,,
Adult Black Dragon,14,Monster,Huge,Dragon,,,CE,,,19,195,17,12,85,40,,,80,40,23,14,21,14,13,17,88,,,,,,,,284,,,,,7,,,,
Adult Blue Dracolich,17,Monster,Huge,Undead,,,LE,,,19,225,18,12,108,40,30,,80,,25,10,23,16,15,19,84,,,,,,,,,,,,,,,,,
Adult Blue Dragon,16,Monster,Huge,Dragon,,,LE,,,19,225,18,12,108,40,30,,80,,25,10,23,16,15,19,91,,,,,,,,286,4,4,,,,,,,
Adult Brass Dragon,13,Monster,Huge,Dragon,,,CG,,,18,172,15,12,75,40,30,,80,,23,10,21,14,13,17,105,,,,,,,,294,,,,,,,,,
Adult Bronze Dragon,15,Monster,Huge,Dragon,,,LG,,,19,212,17,12,102,40,,,80,40,25,10,23,16,15,19,108,,,,,,,,297,,,,,7,,,,
Adult Copper Dragon,14,Monster,Huge,Dragon,,,CG,,,18,184,16,12,80,40,,40,80,,23,12,21,18,15,17,111,,,,,,,,299,,,,,,,,,
Adult Gold Dragon,17,Monster,Huge,Dragon,,,LG,,,19,256,19,12,133,40,,,80,40,27,14,25,16,15,24,114,,,,,,,,302,,,,,,,,,
Adult Green Dragon,15,Monster,Huge,Dragon,,,LE,,,19,207,18,12,90,40,,,80,40,23,12,21,18,15,17,94,,,,,,,,288,,4,,14:23,,,,,
Adult Red Dragon,17,Monster,Huge,Dragon,,,CE,,,19,256,19,12,133,40,,40,80,,27,10,25,16,13,21,98,,,,,,,8,290,,,,,,,,,
Adult Silver Dragon,16,Monster,Huge,Dragon,,,LG,,,19,243,18,12,126,40,,,80,,27,10,25,16,13,21,117,,,,,,,,305,,,,,,,,,
Adult White Dragon,13,Monster,Huge,Dragon,,,CE,,,18,200,16,12,96,40,30,,80,40,22,10,22,8,12,12,101,,,,,,,,292,5,5,,,,,,,
Aerisi Kalinoth,7,NPC,Medium,Humanoid,Elf,,NE,12,W,13,66,12,8,12,30,,,,,8,16,12,17,10,16,,,,,,,193,,,,,,,,,,,
Aerisi Kalinoth (in lair),9,NPC,Medium,Humanoid,Elf,,NE,12,W,13,66,12,8,12,30,,,,,8,16,12,17,10,16,,,,,,,193,,,,,,,,,,,
Air Elemental,5,Monster,Large,Elemental,,,N,,,15,90,12,10,24,0,,,90,,14,20,14,6,10,6,124,,,,,,,8,308,5,5,,,,,"6:33, 9:55, 13:31",,
Air Elemental Myrmidon,7,Monster,Medium,Elemental,,,N,,,18,117,18,8,36,30,,,30,,18,14,14,9,10,10,,,,,,,212,,,,,,,,,13:37,,
Allosaurus,2,Monster,Large,Beast,Dinosaur,,U,,,13,51,6,10,18,60,,,,,19,13,17,2,12,5,79,,,,,,,8,,,,,,,,,,
Ambush Drake,0.5,Monster,Medium,Dragon,,,U,,,13,22,4,6,8,30,,,,,13,15,14,4,11,6,,,,,88,,,,,,,36,,,,,,
Ancient Black Dragon,21,Monster,Gargantuan,Dragon,,,CE,,,22,367,21,20,147,40,,,80,40,27,14,25,16,15,19,87,,,,,,,,283,,,,,,,,,
Ancient Blue Dragon,23,Monster,Gargantuan,Dragon,,,LE,,,22,481,26,20,208,40,40,,80,,29,10,27,18,17,21,90,,,,,,,,285,,,,,,,,,
Ancient Brass Dragon,20,Monster,Gargantuan,Dragon,,,CG,,,20,297,17,20,119,40,40,,80,,27,10,25,16,15,19,104,,,,,,,,293,,,,,,,,,
Ancient Bronze Dragon,22,Monster,Gargantuan,Dragon,,,LG,,,22,444,24,20,192,40,,,80,40,29,10,27,18,17,21,107,,,,,,,,296,,,,,,,,,
Ancient Copper Dragon,21,Monster,Gargantuan,Dragon,,,CG,,,21,350,20,20,140,40,,40,80,,27,12,25,20,17,19,110,,,,,,,,298,,,,,,,,,
Ancient Gold Dragon,24,Monster,Gargantuan,Dragon,,,LG,,,22,546,28,20,252,40,,,80,40,30,14,29,18,17,28,113,,,,,,,,301,,,,,,,,,
Ancient Green Dragon,22,Monster,Gargantuan,Dragon,,,LE,,,21,385,22,20,154,40,,,80,40,27,12,25,20,17,19,93,,,,,,,,287,,,,,,,,,
Ancient Red Dragon,24,Monster,Gargantuan,Dragon,,,CE,,,22,546,28,20,252,40,,40,80,,30,10,29,18,15,23,97,,,,,,,,289,,,,,,,,,
Ancient Silver Dragon,23,Monster,Gargantuan,Dragon,,,LG,,,22,487,25,20,225,40,,,80,,30,10,29,18,15,23,116,,,,,,,,304,,,,,,,,,
Ancient White Dragon,20,Monster,Gargantuan,Dragon,,,CE,,,20,333,18,20,144,40,40,,80,40,26,10,26,10,13,14,100,,,,,,,,291,,,,,,,,,
Androsphinx,17,Monster,Large,Monstrosity,,,LN,12,C,17,199,19,10,95,40,,,60,,22,10,20,16,18,23,281,,,,,,,,350,,,,,,,,,
Animated Armor,1,Monster,Medium,Construct,,,U,,,18,33,6,8,6,25,,,,,14,11,13,1,3,1,19,,,,,,,8,266,,6,,"2:24, 11:33",,,5:25,,
Ankheg,2,Monster,Large,Monstrosity,,,U,,,14,39,6,10,6,30,10,,,,17,11,13,1,13,6,21,,,,,,,,267,,,,,8,,1:25,,
Ankylosaurus,3,Monster,Huge,Beast,Dinosaur,,U,,,15,68,8,12,16,30,,,,,19,11,15,2,12,5,79,,,,,,,10,,,,,,,,,,
Ape,0.5,Creature,Medium,Beast,,,U,,,12,19,3,8,6,30,,30,,,16,14,14,6,12,7,317,,,,,,,10,361,,,,,,,,,
Aquatic Elf,0.5,Monster,Medium,Humanoid,Elf,,CG,,,13,16,3,8,3,30,,,,30,11,16,12,11,13,11,,,,,,,,,,,,,,,,12:21,,
Arcanaloth,12,Monster,Medium,Fiend,Yugoloth,,NE,16,W,17,104,16,8,32,30,,,30,,17,12,14,20,16,17,313,,,,,,,,,,,,,,,,,4:47
Archmage,12,NPC,Medium,Humanoid,Any,,Any,18,W,12,99,18,8,18,30,,,,,10,14,12,20,15,16,342,,,,,,,,390,,,,,,,,,4:45
Assassin,8,NPC,Medium,Humanoid,Any,,!G,,,15,78,12,8,24,30,,,,,11,16,14,13,11,10,343,,,,,,,,391,6,6,,,8,,,,
Avatar of Death,-,Monster,Medium,Undead,,,NE,,,20,*,,,,60,,,60,,16,16,16,16,16,16,,,164,,,,,,221,,,,,,,,,
Awakened Shrub,0,Creature,Small,Plant,,,U,,,9,10,3,6,,20,,,,,3,8,11,10,10,6,317,,,,,,,10,361,,,,,,,,,
Awakened Tree,2,Creature,Huge,Plant,,,U,,,13,59,7,12,14,20,,,,,19,6,15,10,10,7,317,,,,,,,10,361,,7,,12:25,,,,,7:29
Axe Beak,0.25,Creature,Large,Beast,,,U,,,11,19,3,10,3,50,,,,,14,12,12,2,10,5,317,,,,,,,11,361,,,,,,,6:33,,
Azbara Jos,4,NPC,Medium,Humanoid,Human,,LE,6,W,13,39,6,8,12,30,,,,,9,16,14,16,13,11,,,,,88,,,,,,,,,,,,,
Azer,2,Monster,Medium,Elemental,,,LN,,,17,39,6,8,12,30,,,,,17,12,15,12,13,10,22,,,,,,,,268,,,,,9,,2:25,,
Baboon,0,Creature,Small,Beast,,,U,,,12,3,1,6,,30,,30,,,8,14,11,4,12,6,318,,,,,,,11,362,,,,,,,,,
Badger,0,Creature,Tiny,Beast,,,U,,,10,3,1,4,1,20,5,,,,4,11,12,2,12,5,318,,,,,,,11,362,,,,,,,,,
Balloon Grenadier,2,NPC,Medium,Humanoid,Human,,CE,,,14,33,6,8,6,30,,,,,11,16,12,11,14,13,,,,,,,,,,,,,,,,9:57,,
Balor,19,Monster,Huge,Fiend,Demon,,CE,,,19,262,21,12,126,40,,,80,,26,15,22,20,16,22,55,,,,,,,,273,,,,,,,,,
Bandit,0.125,NPC,Medium,Humanoid,Any,,!L,,,12,11,2,8,2,30,,,,,11,12,12,10,10,10,343,,,,,,,53,391,6,,,"1:10, 3:29, 4:21, 9:26",,,"1:19, 2:22, 3:22/23, 7:20",,5:23
Bandit Captain,2,NPC,Medium,Humanoid,Any,,!L,,,15,65,10,8,20,30,,,,,15,16,14,14,11,14,344,,,,,,,,392,,,,"5:19, 6:26, 14:20",9,,3:22,,5:24
Banshee,4,Monster,Medium,Undead,,,CE,,,12,58,13,8,,0,,,40,,1,14,10,12,11,17,23,,,,,,,11,,,,,,,,,,7:34
Barbed Devil,5,Monster,Medium,Fiend,Devil,,LE,,,15,110,13,8,52,30,,,,,16,17,18,12,14,14,70,,,,,,,,277,,7,,,,,,,
Barlgura,5,Monster,Large,Fiend,Demon,,CE,,,15,68,8,10,24,30,,30,,,18,15,16,7,14,9,56,,,,,,,,,,,,,9,,,,"3:28, 4:40"
Basilisk,3,Monster,Medium,Monstrosity,,,U,,,15,52,8,8,16,20,,,,,16,8,15,2,8,7,24,,,,,,,12,268,,,,10:31,,,,,
Bastian Thermandar,8,NPC,Medium,Humanoid,Fire Genasi,,NE,9,S,12,78,12,8,24,30,,,,,12,14,15,11,9,18,,,,,,,201,,,,,,,,,,,
Bat,0,Creature,Tiny,Beast,,,U,,,12,1,1,4,-1,5,,,30,,2,15,8,2,12,4,318,304,,,,,,12,362,,,,,,,10:30,,
Bearded Devil,3,Monster,Medium,Fiend,Devil,,LE,,,13,52,8,8,16,30,,,,,16,15,15,9,11,11,70,,,,,,,,277,,7,,,,,,,
Behir,11,Monster,Huge,Monstrosity,,,NE,,,17,168,16,12,64,50,,40,,,23,16,18,7,14,12,25,,,,,,,,268,,,,,,,13:36,,
Beholder,13,Monster,Large,Aberration,,,LE,,,18,180,19,10,76,0,,,20,,10,14,18,17,15,17,28,,,,,,,,,,,,,,,,,
Beholder (in lair),14,Monster,Large,Aberration,,,LE,,,18,180,19,10,76,0,,,20,,10,14,18,17,15,17,28,,,,,,,,,,,,,,,,,
Beholder Zombie,5,Monster,Large,Undead,,,NE,,,15,93,11,10,33,0,,,20,,10,8,16,3,8,5,316,,,,,,,,,,,,,,,,,
Berserker,2,NPC,Medium,Humanoid,Any,,*C,,,13,67,9,8,27,30,,,,,16,12,17,9,11,9,344,,,,,,,53,392,6,,,"9:29, 12:25, 12:27",,,3:22,,
Black Bear,0.5,Creature,Medium,Beast,,,U,,,11,19,3,8,6,40,,30,,,15,10,14,2,12,7,318,304,,,,,,12,362,,,,,,,9:54,,
